M1,M2,M3,M4,M5,L1,L2
18,25,39,44,50,5,8
27,29,37,39,49,2,4
8,20,24,28,49,8,9
2,30,32,39,44,6,10
10,24,26,39,40,3,10
3,14,37,42,48,1,10
11,23,26,38,44,1,8
4,5,18,22,23,1,3
2,6,23,30,31,2,10
23,30,47,49,50,2,7
6,8,11,13,21,7,8
5,14,17,25,47,9,10
3,25,28,34,50,1,11
4,10,14,37,46,4,7
2,5,18,30,43,1,10
12,24,39,42,44,3,11
13,17,20,30,45,9,10
10,26,30,39,50,7,8
17,31,33,44,50,7,11
9,13,15,19,24,3,8
5,10,31,33,40,8,10
6,29,30,38,45,1,8
15,33,41,44,47,8,10
29,30,32,34,46,3,6
8,17,21,31,34,9,10
6,21,24,32,45,1,11
14,20,30,38,49,3,4
22,24,25,28,49,3,6
6,18,39,44,50,8,11
17,26,27,45,49,2,3
8,9,19,25,49,2,10
23,29,31,39,44,5,8
3,7,12,13,25,5,8
2,15,28,31,37,4,6
1,3,31,42,46,4,11
5,8,37,47,48,2,3
3,15,25,44,49,1,9
6,10,15,23,41,4,10
3,7,25,32,36,1,6
4,7,28,32,37,5,10
2,3,17,36,38,4,11
17,32,36,38,48,5,8
2,14,21,36,46,7,11
13,25,32,38,46,1,10
1,6,13,17,26,3,5
10,13,20,33,41,3,9
10,15,17,40,45,1,2
3,9,20,30,42,1,6
20,21,27,33,40,3,10
1,13,40,48,49,8,10
4,5,15,23,32,3,7
6,29,42,45,47,9,10
9,21,28,30,38,1,8
4,13,23,48,50,5,10
3,13,15,33,42,5,7
13,27,35,46,47,1,2
12,13,14,29,35,1,7
6,8,34,38,48,3,9
4,29,30,35,50,2,4
9,13,26,31,33,7,11
8,15,19,24,35,8,10
1,18,23,46,50,3,9
5,25,31,39,45,1,8
2,9,26,32,38,3,6
10,22,36,45,48,4,11
4,17,29,35,49,1,2
4,7,11,34,47,7,8
4,5,21,23,30,8,10
7,16,19,22,33,2,5
21,29,35,43,46,1,9
5,7,19,21,42,5,11
24,44,46,48,50,5,10
10,23,35,40,43,3,9
9,10,12,24,43,5,9
1,24,43,45,50,5,8
1,11,29,41,43,3,11
15,18,20,27,34,1,3
5,22,35,38,49,4,7
8,18,22,24,27,4,11
4,18,39,43,47,2,6
18,22,25,27,39,5,10
31,33,34,39,45,2,10
1,7,20,21,48,4,7
5,15,25,38,49,1,2
11,13,37,40,48,8,9
16,18,22,28,46,9,11
12,18,21,32,33,1,11
7,25,34,40,49,9,11
2,15,32,39,44,5,10
5,24,27,41,45,6,7
7,13,16,25,26,1,6
3,8,31,34,47,9,11
5,33,36,38,47,4,9
23,26,29,37,40,3,4
4,13,30,34,47,2,6
3,21,26,28,45,7,10
5,19,24,31,37,1,9
4,30,31,38,42,2,11
18,23,26,35,44,3,11
13,21,24,44,49,1,9
13,15,20,24,46,1,8
21,24,31,39,47,3,7
3,14,26,47,50,7,11
8,12,19,30,33,4,11
11,18,29,42,49,4,11
6,10,28,45,50,10,11
16,18,26,38,44,8,10
3,4,19,28,43,3,7
7,20,26,28,50,2,8
7,30,37,39,42,5,7
8,27,34,36,39,5,10
6,24,25,27,30,5,9
1,4,23,33,44,7,8
5,10,38,40,41,1,8
3,5,22,27,44,1,6
12,32,38,43,44,2,7
21,25,28,35,42,4,6
13,17,28,30,32,5,7
23,26,36,37,49,6,7
2,4,6,19,39,2,7
8,17,25,41,47,1,2
3,17,19,46,47,9,10
1,21,33,37,38,4,8
8,10,15,16,31,8,9
18,20,23,42,48,2,9
5,19,34,35,41,1,5
4,12,35,42,48,5,8
19,26,32,33,42,4,10
18,20,25,26,37,10,11
1,2,11,27,29,1,10
2,20,27,33,45,6,10
3,27,31,38,44,3,8
